topic,news_outlet,provenance,title,language,article_length,number_subheaders,forbidden_pattern,sentiment_score,author_person,author_organization
refugees_migration,achgut,https://www.achgut.com/artikel/der_chronist_der_herdenwaerme,Der Chronist der Herdenwärme,de,1159,4,False,0.0023096576333045,Deborah Ryszka,
refugees_migration,achgut,https://www.achgut.com/artikel/so_duester_und_ich_kann_nicht_anders/P40,So düster – und ich kann nicht anders,de,1445,3,False,-0.0133844539523124,Markus Vahlefeld,
refugees_migration,achgut,https://www.achgut.com/artikel/chronik_einer_angekuendigten_ausweisung/P60,Chronik einer angekündigten Ausweisung,de,983,2,False,-0.2937506735324859,Anabel Schunke,
refugees_migration,achgut,https://www.achgut.com/artikel/die_selbstaufgabe_der_fdp/P120,Die Selbstaufgabe der FDP,de,1781,4,False,-0.9077396988868712,Anabel Schunke,
refugees_migration,achgut,https://www.achgut.com/artikel/die_selbstaufgabe_der_fdp/P130,Die Selbstaufgabe der FDP,de,1781,4,False,-0.9077396988868712,Anabel Schunke,
refugees_migration,achgut,https://www.achgut.com/artikel/viele_maenner_und_wenige_frauen_das_problem_mit_der_zuwanderung/P130,Viele Männer und wenige Frauen – Das Problem mit der Zuwanderung,de,1373,3,False,-0.0293644685298204,Anabel Schunke,
refugees_migration,achgut,https://www.achgut.com/artikel/laue_sommernaechte_in_stuttgart/P80,Laue Sommernächte in Stuttgart,de,454,1,False,-0.3899363577365875,Anabel Schunke,
refugees_migration,achgut,https://www.achgut.com/artikel/laue_sommernaechte_in_stuttgart/P70,Laue Sommernächte in Stuttgart,de,454,1,False,-0.3899363577365875,Anabel Schunke,
refugees_migration,achgut,https://www.achgut.com/artikel/laue_sommernaechte_in_stuttgart/P90,Laue Sommernächte in Stuttgart,de,454,1,False,-0.3899363577365875,Anabel Schunke,
refugees_migration,achgut,https://www.achgut.com/artikel/viele_maenner_und_wenige_frauen_das_problem_mit_der_zuwanderung/P140,Viele Männer und wenige Frauen – Das Problem mit der Zuwanderung,de,1373,3,False,-0.0293644685298204,Anabel Schunke,
refugees_migration,achgut,https://www.achgut.com/artikel/die_selbstaufgabe_der_fdp/P100,Die Selbstaufgabe der FDP,de,1781,4,False,-0.9077396988868712,Anabel Schunke,
refugees_migration,achgut,https://www.achgut.com/artikel/die_selbstaufgabe_der_fdp/P110,Die Selbstaufgabe der FDP,de,1781,4,False,-0.9077396988868712,Anabel Schunke,
refugees_migration,achgut,https://www.achgut.com/artikel/die_eu_und_die_einladungen_vom_pferd/P30,Die EU und die Einladungen vom Pferd,de,950,2,False,-0.0103199686855077,Markus Vahlefeld,
refugees_migration,achgut,https://www.achgut.com/artikel/viele_maenner_und_wenige_frauen_das_problem_mit_der_zuwanderung/P110,Viele Männer und wenige Frauen – Das Problem mit der Zuwanderung,de,1373,3,False,-0.0293644685298204,Anabel Schunke,
